#       Baryon    M^{*}_{B}       mu_{B}        U_{B}
neutron        7.557405E+02     9.231415E+02    -1.585853E+01
proton         7.557405E+02     9.231415E+02    -1.585853E+01
lambda         9.852243E+02     1.093481E+03    -2.251929E+01
sigma -        1.087665E+03     1.197124E+03     4.123792E+00
sigma 0        1.087665E+03     1.197124E+03     4.123765E+00
sigma +        1.087665E+03     1.197124E+03     4.123792E+00
cascade -      1.256198E+03     1.310462E+03    -7.538016E+00
cascade 0      1.256198E+03     1.310462E+03    -7.538016E+00
