#       Baryon    M^{*}_{B}       mu_{B}        U_{B}
neutron        7.807133E+02     9.231415E+02    -1.585855E+01
proton         7.807133E+02     9.231415E+02    -1.585855E+01
lambda         9.728425E+02     1.100616E+03    -1.538369E+01
sigma -        1.077972E+03     1.207413E+03     1.441317E+01
sigma 0        1.077972E+03     1.207413E+03     1.441320E+01
sigma +        1.077972E+03     1.207413E+03     1.441317E+01
cascade -      1.250439E+03     1.314511E+03    -3.488501E+00
cascade 0      1.250439E+03     1.314511E+03    -3.488501E+00
