#       Baryon    M^{*}_{B}       mu_{B}        U_{B}
neutron        7.886857E+02     9.241397E+02    -1.586033E+01
proton         7.886857E+02     9.241397E+02    -1.586033E+01
lambda         1.001206E+03     1.063039E+03    -5.496092E+01
sigma -        1.153063E+03     1.214895E+03    -1.732462E+01
sigma 0        1.153063E+03     1.214895E+03    -1.732477E+01
sigma +        1.153063E+03     1.214895E+03    -1.732462E+01
cascade -      1.262886E+03     1.293804E+03    -2.619643E+01
cascade 0      1.262886E+03     1.293804E+03    -2.619643E+01
