#       Baryon    M^{*}_{B}       mu_{B}        U_{B}
neutron        8.050580E+02     9.241378E+02    -1.586221E+01
proton         8.050580E+02     9.241378E+02    -1.586221E+01
lambda         1.013886E+03     1.096373E+03    -2.162701E+01
sigma -        1.161519E+03     1.245811E+03     1.359087E+01
sigma 0        1.161519E+03     1.245811E+03     1.359089E+01
sigma +        1.161519E+03     1.245811E+03     1.359087E+01
cascade -      1.268981E+03     1.310324E+03    -9.676278E+00
cascade 0      1.268981E+03     1.310324E+03    -9.676278E+00
