#       Baryon    M^{*}_{B}       mu_{B}        U_{B}
neutron        7.302432E+02     9.231483E+02    -1.585174E+01
proton         7.302432E+02     9.231483E+02    -1.585174E+01
lambda         9.669471E+02     1.149527E+03     3.352741E+01
sigma -        1.073378E+03     1.260429E+03     6.742939E+01
sigma 0        1.073378E+03     1.260429E+03     6.742942E+01
sigma +        1.073378E+03     1.260429E+03     6.742939E+01
cascade -      1.247704E+03     1.339487E+03     2.148703E+01
cascade 0      1.247704E+03     1.339487E+03     2.148703E+01
