#       Baryon    M^{*}_{B}       mu_{B}        U_{B}
neutron        7.666291E+02     9.231437E+02    -1.585625E+01
proton         7.666291E+02     9.231437E+02    -1.585625E+01
lambda         9.014266E+02     1.086887E+03    -2.911348E+01
sigma -        1.023448E+03     1.212978E+03     1.997844E+01
sigma 0        1.023448E+03     1.212978E+03     1.997847E+01
sigma +        1.023448E+03     1.212978E+03     1.997844E+01
cascade -      1.217678E+03     1.310828E+03    -7.172021E+00
cascade 0      1.217678E+03     1.310828E+03    -7.172021E+00
