#       Baryon    M^{*}_{B}       mu_{B}        U_{B}
neutron        7.705171E+02     9.231410E+02    -1.585902E+01
proton         7.705171E+02     9.231410E+02    -1.585902E+01
lambda         9.973055E+02     1.121517E+03     5.516599E+00
sigma -        1.092971E+03     1.218162E+03     2.516248E+01
sigma 0        1.092971E+03     1.218163E+03     2.516250E+01
sigma +        1.092971E+03     1.218162E+03     2.516248E+01
cascade -      1.261154E+03     1.323356E+03     5.355517E+00
cascade 0      1.261154E+03     1.323356E+03     5.355517E+00
