#       Baryon    M^{*}_{B}       mu_{B}        U_{B}
neutron        7.127111E+02     9.231464E+02    -1.585364E+01
proton         7.127111E+02     9.231464E+02    -1.585364E+01
lambda         9.543642E+02     1.132906E+03     1.690649E+01
sigma -        1.063623E+03     1.242165E+03     4.916483E+01
sigma 0        1.063623E+03     1.242165E+03     4.916485E+01
sigma +        1.063623E+03     1.242165E+03     4.916483E+01
cascade -      1.241883E+03     1.331155E+03     1.315535E+01
cascade 0      1.241883E+03     1.331155E+03     1.315535E+01
