#       Baryon    M^{*}_{B}       mu_{B}        U_{B}
neutron        8.117841E+02     9.241407E+02    -1.585932E+01
proton         8.117841E+02     9.241407E+02    -1.585932E+01
lambda         1.019092E+03     1.133773E+03     1.577320E+01
sigma -        1.165003E+03     1.281509E+03     4.928927E+01
sigma 0        1.165003E+03     1.281509E+03     4.928929E+01
sigma +        1.165003E+03     1.281509E+03     4.928927E+01
cascade -      1.271492E+03     1.328929E+03     8.928532E+00
cascade 0      1.271492E+03     1.328929E+03     8.928532E+00
