#       Baryon    M^{*}_{B}       mu_{B}        U_{B}
neutron        7.479504E+02     9.231453E+02    -1.585474E+01
proton         7.479504E+02     9.231453E+02    -1.585474E+01
lambda         9.796428E+02     1.127040E+03     1.104047E+01
sigma -        1.083288E+03     1.233802E+03     4.080164E+01
sigma 0        1.083288E+03     1.233802E+03     4.080167E+01
sigma +        1.083288E+03     1.233802E+03     4.080164E+01
cascade -      1.253599E+03     1.327646E+03     9.646189E+00
cascade 0      1.253599E+03     1.327646E+03     9.646189E+00
