#       Baryon    M^{*}_{B}       mu_{B}        U_{B}
neutron        6.952110E+02     9.231382E+02    -1.586179E+01
proton         6.952110E+02     9.231382E+02    -1.586179E+01
lambda         9.440351E+02     1.088279E+03    -2.772148E+01
sigma -        1.049203E+03     1.194508E+03     1.508078E+00
sigma 0        1.049203E+03     1.194508E+03     1.508007E+00
sigma +        1.049203E+03     1.194508E+03     1.508078E+00
cascade -      1.235983E+03     1.308257E+03    -9.742920E+00
cascade 0      1.235983E+03     1.308257E+03    -9.742920E+00
