#       Baryon    M^{*}_{B}       mu_{B}        U_{B}
neutron        7.766681E+02     9.231422E+02    -1.585779E+01
proton         7.766681E+02     9.231422E+02    -1.585779E+01
lambda         1.000208E+03     1.145213E+03     2.921308E+01
sigma -        1.099473E+03     1.245988E+03     5.298835E+01
sigma 0        1.099473E+03     1.245988E+03     5.298837E+01
sigma +        1.099473E+03     1.245988E+03     5.298835E+01
cascade -      1.263193E+03     1.335868E+03     1.786789E+01
cascade 0      1.263193E+03     1.335868E+03     1.786789E+01
