#       Baryon    M^{*}_{B}       mu_{B}        U_{B}
neutron        8.173235E+02     9.241391E+02    -1.586088E+01
proton         8.173235E+02     9.241391E+02    -1.586088E+01
lambda         1.023377E+03     1.112853E+03    -5.147229E+00
sigma -        1.167876E+03     1.258694E+03     2.647419E+01
sigma 0        1.167876E+03     1.258694E+03     2.647421E+01
sigma +        1.167876E+03     1.258694E+03     2.647419E+01
cascade -      1.273564E+03     1.318369E+03    -1.630750E+00
cascade 0      1.273564E+03     1.318369E+03    -1.630750E+00
