#       Baryon    M^{*}_{B}       mu_{B}        U_{B}
neutron        7.937347E+02     9.241397E+02    -1.586033E+01
proton         7.937347E+02     9.241397E+02    -1.586033E+01
lambda         1.005118E+03     1.085323E+03    -3.267709E+01
sigma -        1.155667E+03     1.237361E+03     5.140683E+00
sigma 0        1.155667E+03     1.237361E+03     5.140654E+00
sigma +        1.155667E+03     1.237361E+03     5.140683E+00
cascade -      1.264762E+03     1.304955E+03    -1.504531E+01
cascade 0      1.264762E+03     1.304955E+03    -1.504531E+01
