#       Baryon    M^{*}_{B}       mu_{B}        U_{B}
neutron        7.855269E+02     9.231404E+02    -1.585961E+01
proton         7.855269E+02     9.231404E+02    -1.585961E+01
lambda         1.006546E+03     1.119257E+03     3.257089E+00
sigma -        1.104492E+03     1.218246E+03     2.524613E+01
sigma 0        1.104492E+03     1.218246E+03     2.524616E+01
sigma +        1.104492E+03     1.218246E+03     2.524613E+01
cascade -      1.266159E+03     1.322635E+03     4.635351E+00
cascade 0      1.266159E+03     1.322635E+03     4.635351E+00
