#       Baryon    M^{*}_{B}       mu_{B}        U_{B}
neutron        7.807133E+02     9.231415E+02    -1.585855E+01
proton         7.807133E+02     9.231415E+02    -1.585855E+01
lambda         1.003102E+03     1.132298E+03     1.629807E+01
sigma -        1.101763E+03     1.232244E+03     3.924423E+01
sigma 0        1.101763E+03     1.232244E+03     3.924425E+01
sigma +        1.101763E+03     1.232244E+03     3.924423E+01
cascade -      1.264547E+03     1.329292E+03     1.129231E+01
cascade 0      1.264547E+03     1.329292E+03     1.129231E+01
