1.280000e-01 1.471301e+01 2.144129e-01
1.312000e-01 1.449101e+01 2.267416e-01
1.344000e-01 1.430501e+01 2.391378e-01
1.376000e-01 1.414801e+01 2.515581e-01
1.408000e-01 1.401501e+01 2.640638e-01
1.440000e-01 1.390001e+01 2.766707e-01
1.472000e-01 1.380101e+01 2.893680e-01
1.504000e-01 1.371501e+01 3.021650e-01
1.536000e-01 1.364101e+01 3.150519e-01
1.568000e-01 1.357501e+01 3.280243e-01
1.600000e-01 1.351801e+01 3.410798e-01
1.632000e-01 1.346901e+01 3.542056e-01
1.664000e-01 1.342501e+01 3.674024e-01
1.696000e-01 1.338601e+01 3.806604e-01
1.728000e-01 1.335201e+01 3.939737e-01
1.760000e-01 1.332201e+01 4.073384e-01
1.792000e-01 1.329601e+01 4.207432e-01
1.824000e-01 1.327301e+01 4.341869e-01
1.856000e-01 1.325201e+01 4.476610e-01
1.888000e-01 1.323401e+01 4.611595e-01
1.920000e-01 1.321801e+01 4.746788e-01
1.952000e-01 1.320401e+01 4.882087e-01
1.984000e-01 1.319101e+01 5.017480e-01
2.016000e-01 1.318001e+01 5.152891e-01
2.048000e-01 1.317001e+01 5.288267e-01
2.080000e-01 1.316101e+01 5.423577e-01
2.112000e-01 1.315401e+01 5.558729e-01
2.144000e-01 1.314701e+01 5.693717e-01
2.176000e-01 1.314101e+01 5.828474e-01
2.208000e-01 1.313501e+01 5.962954e-01
2.240000e-01 1.313001e+01 6.097134e-01
2.272000e-01 1.312601e+01 6.230932e-01
2.304000e-01 1.312201e+01 6.364350e-01
2.336000e-01 1.311801e+01 6.497326e-01
2.368000e-01 1.311501e+01 6.629825e-01
2.400000e-01 1.311201e+01 6.761830e-01
2.432000e-01 1.310901e+01 6.893268e-01
2.464000e-01 1.310601e+01 7.024147e-01
2.496000e-01 1.310301e+01 7.154415e-01
2.528000e-01 1.310101e+01 7.284044e-01
2.560000e-01 1.309801e+01 7.413025e-01
2.592000e-01 1.309601e+01 7.541292e-01
2.624000e-01 1.309401e+01 7.668857e-01
2.656000e-01 1.309101e+01 7.795679e-01
2.688000e-01 1.308901e+01 7.921736e-01
2.720000e-01 1.308601e+01 8.047021e-01
2.752000e-01 1.308401e+01 8.171484e-01
2.784000e-01 1.308101e+01 8.295136e-01
2.816000e-01 1.307901e+01 8.417943e-01
2.848000e-01 1.307601e+01 8.539891e-01
2.880000e-01 1.307301e+01 8.660976e-01
2.912000e-01 1.307001e+01 8.781157e-01
2.944000e-01 1.306701e+01 8.900449e-01
2.976000e-01 1.306401e+01 9.018822e-01
3.008000e-01 1.306101e+01 9.136269e-01
3.040000e-01 1.305801e+01 9.252790e-01
3.072000e-01 1.305401e+01 9.368348e-01
3.104000e-01 1.305101e+01 9.482962e-01
3.136000e-01 1.304701e+01 9.596611e-01
3.168000e-01 1.304301e+01 9.709288e-01
3.200000e-01 1.303901e+01 9.820998e-01
3.232000e-01 1.303501e+01 9.931710e-01
3.264000e-01 1.303101e+01 1.004145e+00
3.296000e-01 1.302601e+01 1.015018e+00
3.328000e-01 1.302201e+01 1.025793e+00
3.360000e-01 1.301701e+01 1.036468e+00
3.392000e-01 1.301201e+01 1.046396e+00
3.424000e-01 1.300801e+01 1.054992e+00
3.456000e-01 1.300401e+01 1.063070e+00
3.488000e-01 1.300001e+01 1.070739e+00
3.520000e-01 1.299601e+01 1.078093e+00
3.552000e-01 1.299201e+01 1.085158e+00
3.584000e-01 1.298801e+01 1.091991e+00
3.616000e-01 1.298401e+01 1.098608e+00
3.648000e-01 1.298001e+01 1.105029e+00
3.680000e-01 1.297501e+01 1.111276e+00
3.712000e-01 1.297101e+01 1.117352e+00
3.744000e-01 1.296601e+01 1.123276e+00
3.776000e-01 1.296101e+01 1.129055e+00
3.808000e-01 1.295701e+01 1.134697e+00
3.840000e-01 1.295201e+01 1.140211e+00
3.872000e-01 1.294701e+01 1.145600e+00
3.904000e-01 1.294101e+01 1.150873e+00
3.936000e-01 1.293601e+01 1.156034e+00
3.968000e-01 1.293101e+01 1.161088e+00
4.000000e-01 1.292501e+01 1.166038e+00
4.032000e-01 1.292001e+01 1.170890e+00
4.064000e-01 1.291401e+01 1.175646e+00
4.096000e-01 1.290801e+01 1.180311e+00
4.128000e-01 1.290201e+01 1.184887e+00
4.160000e-01 1.289601e+01 1.189377e+00
4.192000e-01 1.289001e+01 1.193785e+00
4.224000e-01 1.288401e+01 1.198112e+00
4.256000e-01 1.287801e+01 1.202361e+00
4.288000e-01 1.287101e+01 1.206535e+00
4.320000e-01 1.286501e+01 1.210635e+00
4.352000e-01 1.285801e+01 1.214664e+00
4.384000e-01 1.285101e+01 1.218624e+00
4.416000e-01 1.284501e+01 1.222516e+00
4.448000e-01 1.283801e+01 1.226343e+00
4.480000e-01 1.283101e+01 1.230106e+00
4.512000e-01 1.282401e+01 1.233806e+00
4.544000e-01 1.281601e+01 1.237446e+00
4.576000e-01 1.280901e+01 1.241027e+00
4.608000e-01 1.280201e+01 1.244550e+00
4.640000e-01 1.279501e+01 1.248016e+00
4.672000e-01 1.278701e+01 1.251428e+00
4.704000e-01 1.277901e+01 1.254786e+00
4.736000e-01 1.277201e+01 1.258091e+00
4.768000e-01 1.276401e+01 1.261345e+00
4.800000e-01 1.275601e+01 1.264548e+00
4.832000e-01 1.274901e+01 1.267703e+00
4.864000e-01 1.274101e+01 1.270809e+00
4.896000e-01 1.273301e+01 1.273868e+00
4.928000e-01 1.272501e+01 1.276882e+00
4.960000e-01 1.271601e+01 1.279849e+00
