#       Baryon    M^{*}_{B}       mu_{B}        U_{B}
neutron        7.786048E+02     9.231419E+02    -1.585814E+01
proton         7.786048E+02     9.231419E+02    -1.585814E+01
lambda         1.001594E+03     1.138806E+03     2.280588E+01
sigma -        1.100569E+03     1.239181E+03     4.618121E+01
sigma 0        1.100569E+03     1.239181E+03     4.618123E+01
sigma +        1.100569E+03     1.239181E+03     4.618121E+01
cascade -      1.263841E+03     1.332607E+03     1.460727E+01
cascade 0      1.263841E+03     1.332607E+03     1.460727E+01
