#       Baryon    M^{*}_{B}       mu_{B}        U_{B}
neutron        7.830147E+02     9.231410E+02    -1.585903E+01
proton         7.830147E+02     9.231410E+02    -1.585903E+01
lambda         1.004749E+03     1.125756E+03     9.756039E+00
sigma -        1.103067E+03     1.225241E+03     3.224087E+01
sigma 0        1.103067E+03     1.225241E+03     3.224089E+01
sigma +        1.103067E+03     1.225241E+03     3.224087E+01
cascade -      1.265318E+03     1.325955E+03     7.955484E+00
cascade 0      1.265318E+03     1.325955E+03     7.955484E+00
