#       Baryon    M^{*}_{B}       mu_{B}        U_{B}
neutron        7.766681E+02     9.231422E+02    -1.585779E+01
proton         7.766681E+02     9.231422E+02    -1.585779E+01
lambda         9.692845E+02     1.112644E+03    -3.355986E+00
sigma -        1.075198E+03     1.220516E+03     2.751621E+01
sigma 0        1.075198E+03     1.220516E+03     2.751624E+01
sigma +        1.075198E+03     1.220516E+03     2.751621E+01
cascade -      1.248787E+03     1.320685E+03     2.684661E+00
cascade 0      1.248787E+03     1.320685E+03     2.684661E+00
