#       Baryon    M^{*}_{B}       mu_{B}        U_{B}
neutron        7.517505E+02     9.231411E+02    -1.585885E+01
proton         7.517505E+02     9.231411E+02    -1.585885E+01
lambda         9.823658E+02     1.066834E+03    -4.916648E+01
sigma -        1.085422E+03     1.169890E+03    -2.311041E+01
sigma 0        1.085422E+03     1.169889E+03    -2.311056E+01
sigma +        1.085422E+03     1.169890E+03    -2.311041E+01
cascade -      1.254866E+03     1.297102E+03    -2.089811E+01
cascade 0      1.254866E+03     1.297102E+03    -2.089811E+01
