#       Baryon    M^{*}_{B}       mu_{B}        U_{B}
neutron        7.926548E+02     9.231396E+02    -1.586037E+01
proton         7.926548E+02     9.231396E+02    -1.586037E+01
lambda         1.011644E+03     1.122153E+03     6.153147E+00
sigma -        1.108538E+03     1.219950E+03     2.695000E+01
sigma 0        1.108538E+03     1.219950E+03     2.695007E+01
sigma +        1.108538E+03     1.219950E+03     2.695000E+01
cascade -      1.268549E+03     1.323908E+03     5.908351E+00
cascade 0      1.268549E+03     1.323908E+03     5.908351E+00
