#       Baryon    M^{*}_{B}       mu_{B}        U_{B}
neutron        7.766205E+02     9.231406E+02    -1.585936E+01
proton         7.766205E+02     9.231406E+02    -1.585936E+01
lambda         1.000174E+03     1.112006E+03    -3.994379E+00
sigma -        1.099446E+03     1.212363E+03     1.936347E+01
sigma 0        1.099446E+03     1.212363E+03     1.936349E+01
sigma +        1.099446E+03     1.212363E+03     1.936347E+01
cascade -      1.263177E+03     1.319217E+03     1.217219E+00
cascade 0      1.263177E+03     1.319217E+03     1.217219E+00
