#     rho/rho_0     P (only NN)    P (NN+NNN)

    0.00000    0.00000    0.00000
    0.10000    0.023632   0.023560
    0.20000    0.089079   0.098120
    0.30000    0.19221    0.23265
    0.40000    0.33382    0.43993
    0.50000    0.51908    0.73607
    0.60000    0.75690    1.1400
    0.70000    1.0594    1.6730
    0.80000    1.4415     2.3583
    0.90000    1.9198     3.2204
    1.0000     2.5127     4.2846

