0.32 30.8
0.36 40.3
0.4 52.9
0.44 65.9
0.48 79.4
0.56 114
0.64 151
0.72 179
0.736 184
0.736 336
0.72 322
0.64 252
0.56 189
0.48 127
0.44 102
0.4 73.8
0.32 36.9
0.32 30.8

