#       Baryon    M^{*}_{B}       mu_{B}        U_{B}
neutron        7.774986E+02     9.231405E+02    -1.585953E+01
proton         7.774986E+02     9.231405E+02    -1.585953E+01
lambda         1.000802E+03     1.120133E+03     4.133085E+00
sigma -        1.099943E+03     1.219273E+03     2.627337E+01
sigma 0        1.099943E+03     1.219273E+03     2.627342E+01
sigma +        1.099943E+03     1.219273E+03     2.627337E+01
cascade -      1.263471E+03     1.323138E+03     5.137649E+00
cascade 0      1.263471E+03     1.323138E+03     5.137649E+00
