#       Baryon    M^{*}_{B}       mu_{B}        U_{B}
neutron        7.785165E+02     9.231406E+02    -1.585941E+01
proton         7.785165E+02     9.231406E+02    -1.585941E+01
lambda         1.001530E+03     1.113610E+03    -2.390394E+00
sigma -        1.100519E+03     1.213676E+03     2.067566E+01
sigma 0        1.100519E+03     1.213676E+03     2.067568E+01
sigma +        1.100519E+03     1.213676E+03     2.067566E+01
cascade -      1.263811E+03     1.319975E+03     1.974694E+00
cascade 0      1.263811E+03     1.319975E+03     1.974694E+00
